Purpose,VLAN ID,IP Address,Subnet
P2P Router_VLAN20,20,10.0.0.1,10.0.0.0/24
Physical Clients_VLAN30,30,10.4.0.254,10.4.0.0/24
White Team Public_VLAN50,50,10.0.1.254,10.0.1.0/24
Red Team_VLAN150,150,10.255.255.254,10.128.0.0/9
Team 0 Corp_VLAN200,200,10.2.0.254,10.2.0.0/24
Team 0 Prod_VLAN201,201,10.3.0.254,10.3.0.0/24
Team 1 Corp_VLAN210,210,10.2.1.254,10.2.1.0/24
Team 1 Prod_VLAN211,211,10.3.1.254,10.3.1.0/24
Team 2 Corp_VLAN220,220,10.2.2.254,10.2.2.0/24
Team 2 Prod_VLAN221,221,10.3.2.254,10.3.2.0/24
Team 3 Corp_VLAN230,230,10.2.3.254,10.2.3.0/24
Team 3 Prod_VLAN231,231,10.3.3.254,10.3.3.0/24
Team 4 Corp_VLAN240,240,10.2.4.254,10.2.4.0/24
Team 4 Prod_VLAN241,241,10.3.4.254,10.3.4.0/24
Team 5 Corp_VLAN250,250,10.2.5.254,10.2.5.0/24
Team 5 Prod_VLAN251,251,10.3.5.254,10.3.5.0/24
Team 6 Corp_VLAN260,260,10.2.6.254,10.2.6.0/24
Team 6 Prod_VLAN261,261,10.3.6.254,10.3.6.0/24
Team 7 Corp_VLAN270,270,10.2.7.254,10.2.7.0/24
Team 7 Prod_VLAN271,271,10.3.7.254,10.3.7.0/24
Team 8 Corp_VLAN280,280,10.2.8.254,10.2.8.0/24
Team 8 Prod_VLAN281,281,10.3.8.254,10.3.8.0/24
Team 9 Corp_VLAN290,290,10.2.9.254,10.2.9.0/24
Team 9 Prod_VLAN291,291,10.3.9.254,10.3.9.0/24
Team 10 Corp_VLAN300,300,10.2.10.254,10.2.10.0/24
Team 10 Prod_VLAN301,301,10.3.10.254,10.3.10.0/24
Team 11 Corp_VLAN310,310,10.2.11.254,10.2.11.0/24
Team 11 Prod_VLAN311,311,10.3.11.254,10.3.11.0/24
